job_ad_id,job_city,job_industry,job_type,job_fed_contractor,job_equal_opp_employer,job_ownership,job_req_any,job_req_communication,job_req_education,job_req_min_experience,job_req_computer,job_req_organization,job_req_school,firstname,race,gender,years_college,college_degree,honors,worked_during_school,years_experience,computer_skills,special_skills,volunteer,military,employment_holes,has_email_address,resume_quality,received_callback
384,Chicago,manufacturing,supervisor,NA,1,,1,0,0,5,1,0,none_listed,Allison,white,f,4,1,0,0,6,1,0,0,0,1,0,low,0
384,Chicago,manufacturing,supervisor,NA,1,,1,0,0,5,1,0,none_listed,Kristen,white,f,3,0,0,1,6,1,0,1,1,0,1,high,0
384,Chicago,manufacturing,supervisor,NA,1,,1,0,0,5,1,0,none_listed,Lakisha,black,f,4,1,0,1,6,1,0,0,0,0,0,low,0
384,Chicago,manufacturing,supervisor,NA,1,,1,0,0,5,1,0,none_listed,Latonya,black,f,3,0,0,0,6,1,1,1,0,1,1,high,0
385,Chicago,other_service,secretary,0,1,nonprofit,1,0,0,some,1,1,none_listed,Carrie,brown,f,3,0,0,1,22,1,0,0,0,0,1,high,0
386,Chicago,wholesale_and_retail_trade,sales_rep,0,1,private,0,0,0,0,0,0,none_listed,Jay,white,m,4,1,1,0,6,0,1,0,,0,0,low,0
386,Chicago,wholesale_and_retail_trade,sales_rep,0,1,private,0,0,0,8,0,0,none_listed,Jill,white,f,4,1,0,1,5,1,1,1,0,0,1,high,0
385,Chicago,other_service,secretary,0,1,nonprofit,1,0,0,some,1,1,none_listed,Kenya,black,f,3,0,0,0,21,1,1,1,0,1,1,high,0
386,Chicago,wholesale_and_retail_trade,sales_rep,0,1,private,0,0,0,1,0,0,none_listed,Latonya,black,f,4,1,0,0,3,1,1,0,0,0,0,low,0
386,Chicago,wholesale_and_retail_trade,sales_rep,0,1,private,0,0,0,6,0,0,none_listed,Tyrone,black,m,4,1,0,1,6,0,1,1,0,0,1,high,0
387,Chicago,other_service,secretary,0,1,nonprofit,1,0,0,some,1,0,none_listed,Aisha,black,f,4,1,0,0,8,1,1,1,0,1,1,high,0
387,Chicago,NA,secretary,0,1,nonprofit,1,0,0,some,1,0,none_listed,Allison,white,f,4,1,0,1,8,1,0,0,0,0,1,high,0
